Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","008","Albanie","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2018","2018","million kcal","1052928.16","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2019","2019","million kcal","1068671.04","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2018","2018","g","64040.65","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2019","2019","g","65729.64","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2018","2018","g","72257.81","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2019","2019","g","73084.89","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2018","2018","million kcal","46243578","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2019","2019","million kcal","48278772.17","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","1017170","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","1050960.16","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","1002486","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","1087639.54","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2018","2018","million kcal","5901937.73","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2019","2019","million kcal","6216286.5","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2018","2018","g","377079.65","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2019","2019","g","394531.54","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2018","2018","g","343554.14","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2019","2019","g","364800.67","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2018","2018","million kcal","74603924","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2019","2019","million kcal","73680364.22","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","1248348","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","1162700.98","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","2102421","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","2308067.83","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2018","2018","million kcal","33272299.67","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2019","2019","million kcal","35808902.49","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2018","2018","g","1952673.11","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2019","2019","g","2038866.91","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2018","2018","g","2488882.4","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2019","2019","g","2707523.07","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2018","2018","million kcal","25096438","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2019","2019","million kcal","25884390.33","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","417547","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","412266.06","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","478662","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","493262.83","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2018","2018","million kcal","2358296.27","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2019","2019","million kcal","2172123.56","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2018","2018","g","172250.44","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2019","2019","g","154170.72","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2018","2018","g","170767.59","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2019","2019","g","163221.74","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2018","2018","million kcal","60750","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2019","2019","million kcal","61340.56","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","1030","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","1006.65","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","1443","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","1473.63","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2018","2018","million kcal","26003.71","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2019","2019","million kcal","25915.9","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2018","2018","g","1836.48","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2019","2019","g","1842.8","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2018","2018","g","1826.97","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2019","2019","g","1826.32","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2018","2018","million kcal","35249881","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2019","2019","million kcal","35708458.28","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","664362","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","681287.87","E","Valeur estimée"
